text,hate_label,source,profanity_score,language,dataset_version,combined_date,text_length,word_count  
laltern,1,profanity_list,5,hinglish,v1.0,2025-09-11,7,1
suhaagchudai,1,profanity_list,8,hinglish,v1.0,2025-09-11,12,1
raatchuda,1,profanity_list,7,hinglish,v1.0,2025-09-11,9,1
kaalu,1,profanity_list,6,hinglish,v1.0,2025-09-11,5,1
neech,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
chikna,1,profanity_list,6,hinglish,v1.0,2025-09-11,6,1
meetha,1,profanity_list,6,hinglish,v1.0,2025-09-11,6,1
beechka,1,profanity_list,6,hinglish,v1.0,2025-09-11,7,1
chooche,1,profanity_list,8,hinglish,v1.0,2025-09-11,7,1
patichod,1,profanity_list,8,hinglish,v1.0,2025-09-11,8,1
rundi,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
makkhi,1,profanity_list,1,hinglish,v1.0,2025-09-11,6,1
biwichod,1,profanity_list,9,hinglish,v1.0,2025-09-11,8,1
chodhunga,1,profanity_list,8,hinglish,v1.0,2025-09-11,9,1
haathi,1,profanity_list,1,hinglish,v1.0,2025-09-11,6,1
kute,1,profanity_list,2,hinglish,v1.0,2025-09-11,4,1
jhanten,1,profanity_list,8,hinglish,v1.0,2025-09-11,7,1
kaat,1,profanity_list,3,hinglish,v1.0,2025-09-11,4,1
gandi,1,profanity_list,3,hinglish,v1.0,2025-09-11,5,1
gadha,1,profanity_list,1,hinglish,v1.0,2025-09-11,5,1
bimaar,1,profanity_list,2,hinglish,v1.0,2025-09-11,6,1
badboodar,1,profanity_list,2,hinglish,v1.0,2025-09-11,9,1
dum,1,profanity_list,2,hinglish,v1.0,2025-09-11,3,1
raandsaala,1,profanity_list,7,hinglish,v1.0,2025-09-11,10,1
phudi,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
chute,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
kussi,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
khandanchod,1,profanity_list,9,hinglish,v1.0,2025-09-11,11,1
ghussa,1,profanity_list,6,hinglish,v1.0,2025-09-11,6,1
maarey,1,profanity_list,4,hinglish,v1.0,2025-09-11,6,1
chipkili,1,profanity_list,1,hinglish,v1.0,2025-09-11,8,1
unday,1,profanity_list,1,hinglish,v1.0,2025-09-11,5,1
budh,1,profanity_list,7,hinglish,v1.0,2025-09-11,4,1
chaarpai,1,profanity_list,1,hinglish,v1.0,2025-09-11,8,1
chodun,1,profanity_list,5,hinglish,v1.0,2025-09-11,6,1
chatri,1,profanity_list,3,hinglish,v1.0,2025-09-11,6,1
chode,1,profanity_list,6,hinglish,v1.0,2025-09-11,5,1
chodho,1,profanity_list,6,hinglish,v1.0,2025-09-11,6,1
mullekatue,1,profanity_list,6,hinglish,v1.0,2025-09-11,10,1
mullikatui,1,profanity_list,6,hinglish,v1.0,2025-09-11,10,1
mullekebaal,1,profanity_list,6,hinglish,v1.0,2025-09-11,11,1
momedankatue,1,profanity_list,6,hinglish,v1.0,2025-09-11,12,1
katua,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
chutiyapa,1,profanity_list,9,hinglish,v1.0,2025-09-11,9,1
bc,1,profanity_list,10,hinglish,v1.0,2025-09-11,2,1
mc,1,profanity_list,10,hinglish,v1.0,2025-09-11,2,1
chudwaya,1,profanity_list,7,hinglish,v1.0,2025-09-11,8,1
kutton,1,profanity_list,2,hinglish,v1.0,2025-09-11,6,1
jungli,1,profanity_list,2,hinglish,v1.0,2025-09-11,6,1
vahiyaat,1,profanity_list,4,hinglish,v1.0,2025-09-11,8,1
jihadi,1,profanity_list,4,hinglish,v1.0,2025-09-11,6,1
atankvadi,1,profanity_list,4,hinglish,v1.0,2025-09-11,9,1
atankwadi,1,profanity_list,4,hinglish,v1.0,2025-09-11,9,1
aatanki,1,profanity_list,4,hinglish,v1.0,2025-09-11,7,1

